Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6413295a2accc6849c4227c5,63eb3891e11552f1afb46066,AWAITING REVIEW,2023-03-16T14:36:10.583000Z,2023-03-16T14:40:58.334000Z,,2023-03-16T14:40:58.778945Z,288,5A34BA6B,70,33,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6413295a61b2a9671e2ca146,5cb3cdc781f3750001043bf2,AWAITING REVIEW,2023-03-16T14:36:16.923000Z,2023-03-16T14:41:19.352000Z,,2023-03-16T14:41:20.067599Z,303,5A34BA6B,76,23,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
6413295b429e9d22bff4b756,5fde36d50a5e7f57ba491e20,AWAITING REVIEW,2023-03-16T14:36:13.751000Z,2023-03-16T14:38:42.211000Z,,2023-03-16T14:38:42.711591Z,149,5A34BA6B,589,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6413295b5fd52a3a0f43402b,6150354b1b4a698e6ff0d907,AWAITING REVIEW,2023-03-16T14:36:16.299000Z,2023-03-16T14:38:26.187000Z,,2023-03-16T14:38:26.601519Z,130,5A34BA6B,644,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6413295b6f235a071a4227f1,59b73df56039190001eaa9e7,AWAITING REVIEW,2023-03-16T14:36:15.639000Z,2023-03-16T14:39:58.473000Z,,2023-03-16T14:39:58.853169Z,223,5A34BA6B,1215,49,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6413295b879cf884885b7b39,60013656ecea2e2862d4b7a7,AWAITING REVIEW,2023-03-16T14:36:15.061000Z,2023-03-16T14:39:16.145000Z,,2023-03-16T14:39:16.570601Z,182,5A34BA6B,132,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6413295bc43694b34d59ffcf,5f4412624052727181839e3a,AWAITING REVIEW,2023-03-16T14:36:11.697000Z,2023-03-16T14:38:05.784000Z,,2023-03-16T14:38:06.193270Z,115,5A34BA6B,962,24,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6413295bf6ff632df244a15d,5efd22056ec55516587f32a6,AWAITING REVIEW,2023-03-16T14:36:11.721000Z,2023-03-16T14:40:33.647000Z,,2023-03-16T14:40:34.091430Z,262,5A34BA6B,1742,25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
6413295c05ecf3d91b715357,6146fae1e27a56034fdcb5c5,AWAITING REVIEW,2023-03-16T14:36:16.917000Z,2023-03-16T14:40:01.633000Z,,2023-03-16T14:40:02.064672Z,225,5A34BA6B,850,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
6413295c5498f2f4ce3d12c0,63d811529a14859b7754f737,AWAITING REVIEW,2023-03-16T14:36:18.131000Z,2023-03-16T14:38:42Z,,2023-03-16T14:38:42.409128Z,144,5A34BA6B,105,31,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
