StartDate,EndDate,Status.x,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,attention_check,Q1...42,CMQ_1,CMQ_2,CMQ_3,CMQ_4,CMQ_5,SICBS,BCTI_intro,BCTI_apollo,BCTI_cancer,BCTI_viruses,BCTI_climatechange,BCTI_flatearth,BCTI_autism,BCTI_polio,BCTI_alien,BCTI_hydorxychlor,BCTI_evolution,wgm_scientists,wgm_sciencegeneral,pew,Q1...63,education,comments,PROLIFIC_PID,Submission id,Status.y,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,gender,duration_mins,id,BCTI_avg,CMQ_avg,subject,knowledge,acceptance
2024-03-05T18:12:21Z,2024-03-05T18:14:53Z,IP Address,68.252.208.26,100,152,True,2024-03-05 18:14:54,R_1kSzp7rur5FVNsd,NA,NA,NA,NA,34.8308,-82.3507,anonymous,EN,I give my informed consent to participate in this study.,Never 1,NA,30,70,10,40,60,6,NA,1,1,1,1,1,1,1,6,1,1,4,4,5,NA,2-year College Degree,NA,5ba596467c0ebe0001269842,65e75272e29a55397e3a1319,AWAITING REVIEW,Not Applicable,2024-03-05T17:12:18Z,2024-03-05T17:14:56Z,NA,2024-03-05T17:14:56Z,158,C232A6J3,4375,38,Male,White,United States,United States,United States,English,No,Full-Time,male,2.533333333333333,2,1.5,42,electrons,TRUE,Yes
2024-03-05T18:12:21Z,2024-03-05T18:14:53Z,IP Address,68.252.208.26,100,152,True,2024-03-05 18:14:54,R_1kSzp7rur5FVNsd,NA,NA,NA,NA,34.8308,-82.3507,anonymous,EN,I give my informed consent to participate in this study.,Never 1,NA,30,70,10,40,60,6,NA,1,1,1,1,1,1,1,6,1,1,4,4,5,NA,2-year College Degree,NA,5ba596467c0ebe0001269842,65e75272e29a55397e3a1319,AWAITING REVIEW,Not Applicable,2024-03-05T17:12:18Z,2024-03-05T17:14:56Z,NA,2024-03-05T17:14:56Z,158,C232A6J3,4375,38,Male,White,United States,United States,United States,English,No,Full-Time,male,2.533333333333333,2,1.5,42,antibiotics,FALSE,Yes
2024-03-05T18:12:21Z,2024-03-05T18:14:53Z,IP Address,68.252.208.26,100,152,True,2024-03-05 18:14:54,R_1kSzp7rur5FVNsd,NA,NA,NA,NA,34.8308,-82.3507,anonymous,EN,I give my informed consent to participate in this study.,Never 1,NA,30,70,10,40,60,6,NA,1,1,1,1,1,1,1,6,1,1,4,4,5,NA,2-year College Degree,NA,5ba596467c0ebe0001269842,65e75272e29a55397e3a1319,AWAITING REVIEW,Not Applicable,2024-03-05T17:12:18Z,2024-03-05T17:14:56Z,NA,2024-03-05T17:14:56Z,158,C232A6J3,4375,38,Male,White,United States,United States,United States,English,No,Full-Time,male,2.533333333333333,2,1.5,42,continents,TRUE,Yes
2024-03-05T18:12:21Z,2024-03-05T18:14:53Z,IP Address,68.252.208.26,100,152,True,2024-03-05 18:14:54,R_1kSzp7rur5FVNsd,NA,NA,NA,NA,34.8308,-82.3507,anonymous,EN,I give my informed consent to participate in this study.,Never 1,NA,30,70,10,40,60,6,NA,1,1,1,1,1,1,1,6,1,1,4,4,5,NA,2-year College Degree,NA,5ba596467c0ebe0001269842,65e75272e29a55397e3a1319,AWAITING REVIEW,Not Applicable,2024-03-05T17:12:18Z,2024-03-05T17:14:56Z,NA,2024-03-05T17:14:56Z,158,C232A6J3,4375,38,Male,White,United States,United States,United States,English,No,Full-Time,male,2.533333333333333,2,1.5,42,sex,TRUE,Yes
2024-03-05T18:12:21Z,2024-03-05T18:14:53Z,IP Address,68.252.208.26,100,152,True,2024-03-05 18:14:54,R_1kSzp7rur5FVNsd,NA,NA,NA,NA,34.8308,-82.3507,anonymous,EN,I give my informed consent to participate in this study.,Never 1,NA,30,70,10,40,60,6,NA,1,1,1,1,1,1,1,6,1,1,4,4,5,NA,2-year College Degree,NA,5ba596467c0ebe0001269842,65e75272e29a55397e3a1319,AWAITING REVIEW,Not Applicable,2024-03-05T17:12:18Z,2024-03-05T17:14:56Z,NA,2024-03-05T17:14:56Z,158,C232A6J3,4375,38,Male,White,United States,United States,United States,English,No,Full-Time,male,2.533333333333333,2,1.5,42,lasers,TRUE,Yes
2024-03-05T18:12:21Z,2024-03-05T18:14:53Z,IP Address,68.252.208.26,100,152,True,2024-03-05 18:14:54,R_1kSzp7rur5FVNsd,NA,NA,NA,NA,34.8308,-82.3507,anonymous,EN,I give my informed consent to participate in this study.,Never 1,NA,30,70,10,40,60,6,NA,1,1,1,1,1,1,1,6,1,1,4,4,5,NA,2-year College Degree,NA,5ba596467c0ebe0001269842,65e75272e29a55397e3a1319,AWAITING REVIEW,Not Applicable,2024-03-05T17:12:18Z,2024-03-05T17:14:56Z,NA,2024-03-05T17:14:56Z,158,C232A6J3,4375,38,Male,White,United States,United States,United States,English,No,Full-Time,male,2.533333333333333,2,1.5,42,orbit,TRUE,Yes
2024-03-05T18:12:21Z,2024-03-05T18:14:53Z,IP Address,68.252.208.26,100,152,True,2024-03-05 18:14:54,R_1kSzp7rur5FVNsd,NA,NA,NA,NA,34.8308,-82.3507,anonymous,EN,I give my informed consent to participate in this study.,Never 1,NA,30,70,10,40,60,6,NA,1,1,1,1,1,1,1,6,1,1,4,4,5,NA,2-year College Degree,NA,5ba596467c0ebe0001269842,65e75272e29a55397e3a1319,AWAITING REVIEW,Not Applicable,2024-03-05T17:12:18Z,2024-03-05T17:14:56Z,NA,2024-03-05T17:14:56Z,158,C232A6J3,4375,38,Male,White,United States,United States,United States,English,No,Full-Time,male,2.533333333333333,2,1.5,42,speed,TRUE,Yes
2024-03-05T18:12:21Z,2024-03-05T18:14:53Z,IP Address,68.252.208.26,100,152,True,2024-03-05 18:14:54,R_1kSzp7rur5FVNsd,NA,NA,NA,NA,34.8308,-82.3507,anonymous,EN,I give my informed consent to participate in this study.,Never 1,NA,30,70,10,40,60,6,NA,1,1,1,1,1,1,1,6,1,1,4,4,5,NA,2-year College Degree,NA,5ba596467c0ebe0001269842,65e75272e29a55397e3a1319,AWAITING REVIEW,Not Applicable,2024-03-05T17:12:18Z,2024-03-05T17:14:56Z,NA,2024-03-05T17:14:56Z,158,C232A6J3,4375,38,Male,White,United States,United States,United States,English,No,Full-Time,male,2.533333333333333,2,1.5,42,salt,TRUE,Yes
2024-03-05T18:12:21Z,2024-03-05T18:14:53Z,IP Address,68.252.208.26,100,152,True,2024-03-05 18:14:54,R_1kSzp7rur5FVNsd,NA,NA,NA,NA,34.8308,-82.3507,anonymous,EN,I give my informed consent to participate in this study.,Never 1,NA,30,70,10,40,60,6,NA,1,1,1,1,1,1,1,6,1,1,4,4,5,NA,2-year College Degree,NA,5ba596467c0ebe0001269842,65e75272e29a55397e3a1319,AWAITING REVIEW,Not Applicable,2024-03-05T17:12:18Z,2024-03-05T17:14:56Z,NA,2024-03-05T17:14:56Z,158,C232A6J3,4375,38,Male,White,United States,United States,United States,English,No,Full-Time,male,2.533333333333333,2,1.5,42,trees,FALSE,Yes
2024-03-05T18:12:21Z,2024-03-05T18:14:53Z,IP Address,68.252.208.26,100,152,True,2024-03-05 18:14:54,R_1kSzp7rur5FVNsd,NA,NA,NA,NA,34.8308,-82.3507,anonymous,EN,I give my informed consent to participate in this study.,Never 1,NA,30,70,10,40,60,6,NA,1,1,1,1,1,1,1,6,1,1,4,4,5,NA,2-year College Degree,NA,5ba596467c0ebe0001269842,65e75272e29a55397e3a1319,AWAITING REVIEW,Not Applicable,2024-03-05T17:12:18Z,2024-03-05T17:14:56Z,NA,2024-03-05T17:14:56Z,158,C232A6J3,4375,38,Male,White,United States,United States,United States,English,No,Full-Time,male,2.533333333333333,2,1.5,42,water,TRUE,Yes
2024-03-05T18:12:22Z,2024-03-05T18:15:15Z,IP Address,204.15.26.160,100,172,True,2024-03-05 18:15:16,R_3EZ6MVqIunTacY9,NA,NA,NA,NA,43.0812,-89.3845,anonymous,EN,I give my informed consent to participate in this study.,Never 1,NA,60,50,30,70,60,6,NA,2,1,3,2,1,1,1,1,5,1,4,4,5,NA,Some College,NA,65cf88a1a3887a237da61f94,65e752706942132c9d6dbffc,AWAITING REVIEW,Not Applicable,2024-03-05T17:12:20Z,2024-03-05T17:15:17Z,NA,2024-03-05T17:15:18Z,177,C232A6J3,210,22,Male,Asian,United States,United States,United States,English,Yes,Unemployed (and job seeking),male,2.8833333333333333,3,1.8,54,electrons,FALSE,Yes
